planet_name,number_stars_in_system,number_planets_in_system,discovery_method,discovery_year,planet_orbital_period_(days),planet_mass_(earths),star_temp_(K),star_mass_(suns),star_luminosity_(abs),system_distance_from_earth_(pc)
Kepler-129 b,1,3,Transit,2014,15.79,20,5770,1.18,0.464,408.845
Kepler-129 c,1,3,Transit,2014,82.2,43,5770,1.18,0.464,408.845
Kepler-129 d,1,3,Radial Velocity,2021,2646,2637.97578,5770,1.18,0.454,408.845
Kepler-1290 b,1,1,Transit,2016,4.69500134,2.6,5660,0.95,0.069,1593.7
Kepler-1291 b,1,1,Transit,2016,8.63043276,3.39,5216,0.84,-0.467,897.352
Kepler-1292 b,1,1,Transit,2016,3.27646405,3.97,5556,0.95,-0.091,1493.43
Kepler-1293 b,1,1,Transit,2016,5.57654784,0.871,6241,1.18,0.604,1028.16
Kepler-1294 b,1,1,Transit,2016,115.6862258,10.3,5776,0.99,0.421,1855.7
Kepler-1295 b,1,1,Transit,2016,3.81371974,3.02,5486,0.92,-0.283,1174.46
Kepler-1296 b,1,1,Transit,2016,8.3839865,0.693,5359,0.87,0.486,1551.54
Kepler-1297 b,1,1,Transit,2016,1.68189002,0.871,5818,0.99,0.302,1439.47
Kepler-1298 b,1,1,Transit,2016,7.12811928,2.27,6339,1.45,0.84,544.163
Kepler-1299 b,1,1,Transit,2016,19.9400874,9.17,5609,0.94,-0.106,1404.94
Kepler-130 b,2,3,Transit,2014,8.457458,1.04,5884,0.96,0.198,316.663
Kepler-130 c,2,3,Transit,2014,27.50868,8.75,5879,1,0.155,316.663
Kepler-130 d,2,3,Transit,2014,87.517905,3.33,5884,0.96,0.198,316.663
Kepler-1300 b,1,1,Transit,2016,22.2419092,2.45,6130,1.29,0.636,777.025
Kepler-1301 b,1,1,Transit,2016,9.08237046,2.54,5188,0.85,-0.346,854.28
Kepler-1302 b,1,1,Transit,2016,8.83922659,2.63,5236,0.86,-0.467,634.58
Kepler-1303 b,1,1,Transit,2016,7.56127224,2.6,5771,1.01,-0.002,897.783
Kepler-1304 b,1,1,Transit,2016,16.1288853,5.86,5259,0.85,0.639,2176.08
Kepler-1305 b,1,1,Transit,2016,13.5630972,4.19,5701,0.97,0.084,1575.23
Kepler-1306 b,1,1,Transit,2016,16.29595382,4.31,5727,0.98,-0.063,1107.5
Kepler-1307 b,1,1,Transit,2016,18.01621096,6.66,5884,1.06,-0.205,1014.62
Kepler-1308 b,1,1,Transit,2016,2.10433812,0.0933,3468,0.35,-1.503,112.705
Kepler-1309 b,1,1,Transit,2016,28.8432647,6.21,5235,0.85,-0.603,845
Kepler-131 b,1,2,Transit,2014,16.092,16.13,5685,1.02,0.022,228.678
Kepler-131 c,1,2,Transit,2014,25.5169,8.25,5685,1.02,0.022,228.678
Kepler-1310 b,1,1,Transit,2016,0.67933627,2.67,5549,0.91,-0.192,569.185
Kepler-1311 b,1,2,Transit,2016,11.1726994,2.07,5748,1.05,0.472,866.331
Kepler-1311 c,1,2,Transit,2016,2.53573424,1.98,5748,1.05,0.472,866.331
Kepler-1312 b,1,1,Transit,2016,5.44832529,5.06,5719,0.99,-0.099,299.104
Kepler-1313 b,1,1,Transit,2016,3.83309118,3.75,5453,0.92,-0.325,174.234
Kepler-1314 b,1,1,Transit,2016,5.42474928,22.9,4188,0.6,-1.891,141.9868506
Kepler-1315 b,1,1,Transit,2016,0.84338011,2.48,4861,0.8,-0.628,480.869
Kepler-1316 b,1,1,Transit,2016,87.9732136,12.3,5884,1.04,0.253,800.871
Kepler-1317 b,1,1,Transit,2016,0.56887443,3.05,5144,0.83,-0.414,728.303
Kepler-1318 b,1,1,Transit,2016,213.257663,9.85,4598,0.73,-0.73,475.248
Kepler-1319 b,2,1,Transit,2016,2.88676265,2.36,3655,0.56,-1.457,103.917
Kepler-132 b,2,4,Transit,2014,6.178196,1.92,6003,0.98,0.211,349.549
Kepler-132 c,2,4,Transit,2014,6.414914,2.18,6003,0.98,0.211,349.549
Kepler-132 d,2,4,Transit,2014,18.010199,3.02,6003,0.98,0.211,349.549
Kepler-132 e,2,4,Transit,2016,110.2869374,1.76,6023,1.03,0.211,349.549
Kepler-1320 b,1,1,Transit,2016,0.86838653,3.53,4817,0.8,-0.729,647.424
Kepler-1321 b,1,2,Transit,2016,11.12830484,21.5,4094,0.54,-0.862,769.146
Kepler-1321 c,1,2,Transit,2016,2.22649109,6.35,4094,0.54,-0.862,769.146
Kepler-1322 b,1,1,Transit,2016,0.96286738,3.22,5488,0.9,-0.101,1350.32
Kepler-1323 b,1,1,Transit,2016,0.92990668,2.92,6169,1.18,0.295,465.417
Kepler-1324 b,1,1,Transit,2016,4.11584468,2.89,4776,0.78,-0.673,481.667
Kepler-1325 b,1,1,Transit,2016,33.8786838,8.55,5550,0.93,-0.136,973.368
Kepler-1326 b,1,1,Transit,2016,42.3514267,16.3,6725,1.45,0.523,698.326
Kepler-1327 b,1,1,Transit,2016,14.88801098,3.89,5885,1.02,0.036,678.069
Kepler-1328 b,1,1,Transit,2016,4.52158888,0.904,5780,1,0.228,813.543
Kepler-1329 b,1,1,Transit,2016,9.33646594,5.35,4500,0.72,-0.771,588.037
Kepler-133 b,1,2,Transit,2014,8.129976,3.75,5736,1.02,0.41,653.6
Kepler-133 c,1,2,Transit,2014,31.517586,8.45,5736,1.02,0.41,653.6
Kepler-1330 b,1,1,Transit,2016,10.10769068,3.36,5608,0.97,0.426,1720.48
Kepler-1331 b,1,1,Transit,2016,0.78916165,1.16,4508,0.72,-0.909,319.197
Kepler-1332 b,1,1,Transit,2016,11.87456832,2.45,5581,0.95,-0.137,528.685
Kepler-1333 b,1,1,Transit,2016,109.6471842,8.3,5628,0.94,-0.188,932.446
Kepler-1334 b,1,1,Transit,2016,15.64591713,5.86,5614,0.94,0.028,1223.04
Kepler-1335 b,1,1,Transit,2016,6.26406846,2.7,4903,0.77,-0.555,621.853
Kepler-1336 b,1,2,Transit,2016,23.198681,4.58,5512,0.94,0.421,1126.64
Kepler-1336 c,1,2,Transit,2016,5.77721211,3.57,5512,0.94,0.421,1126.64
Kepler-1337 b,1,1,Transit,2016,24.4002549,6.39,4523,0.7,-0.742,601.629
Kepler-1338 b,1,1,Transit,2016,0.93511806,0.721,5909,1.04,0.247,753.26
Kepler-1339 b,1,1,Transit,2016,1.34155513,0.285,5586,0.94,0.188,371.049
Kepler-134 b,1,2,Transit,2014,5.317429,4.66,5983,1.06,0.061,334.797
Kepler-134 c,1,2,Transit,2014,10.105785,2.13,5983,1.06,0.061,334.797
Kepler-1340 b,1,1,Transit,2016,0.66502692,3.02,6331,1.27,0.087,981.779
Kepler-1341 b,2,1,Transit,2016,132.9968322,9.22,4662,0.79,-0.638,476.957
Kepler-1342 b,1,1,Transit,2016,2.21571036,3.39,5527,0.93,-0.261,890.724
Kepler-1343 b,1,1,Transit,2016,3.35183158,4.38,5759,0.95,0.195,1756.71
Kepler-1344 b,1,1,Transit,2016,4.7683049,4.04,5981,1.09,0.146,853.959
Kepler-1345 b,1,1,Transit,2016,44.6169557,6.17,6449,1.32,0.693,1355.02
Kepler-1346 b,1,1,Transit,2016,3.40165668,3.12,6133,1.14,-0.008,843.701
Kepler-1347 b,1,1,Transit,2016,14.00947528,1.08,5193,0.82,-0.388,321
Kepler-1348 b,1,1,Transit,2016,27.5722742,4.42,5911,1.04,0.204,1213.82
Kepler-1349 b,1,1,Transit,2016,2.12823928,0.271,6086,1.16,0.343,276.323
Kepler-135 b,1,2,Transit,2014,6.00253,3.93,6090,1.25,0.448,621.855
Kepler-135 c,1,2,Transit,2014,11.448708,1.65,6090,1.25,0.448,621.855
Kepler-1350 b,1,2,Transit,2016,4.4968604,6.9,3827,0.55,-1.283,340.691
Kepler-1350 c,1,2,Transit,2016,1.76678906,3.64,3827,0.55,-1.283,340.691
Kepler-1351 b,1,1,Transit,2016,0.91614077,0.208,4439,0.7,-0.983,202.782
Kepler-1352 b,1,1,Transit,2016,1.87788275,0.64,6118,1.11,0.263,670.829
Kepler-1353 b,1,1,Transit,2016,24.7543966,3.89,4776,0.76,-0.615,593.384
Kepler-1354 b,1,1,Transit,2016,76.613377,9.11,6168,1.16,0.302,1119.45
Kepler-1355 b,1,1,Transit,2016,1.28958811,2.73,5352,0.88,-0.329,911.269
Kepler-1356 b,1,1,Transit,2016,0.63400294,2.96,5106,0.82,-0.486,845.228
Kepler-1357 b,1,1,Transit,2016,3.0091324,2.18,5597,0.93,-0.146,1015.69
Kepler-1358 b,1,1,Transit,2016,7.06317341,1.46,5181,0.82,-0.413,546.998
Kepler-1359 b,1,1,Transit,2016,59.4970952,8.4,4709,0.78,-0.717,614.859
Kepler-136 b,2,2,Transit,2014,11.5789,19.8,6165,1.2,0.467,420.818
Kepler-136 c,2,2,Transit,2014,16.399235,4.62,6165,1.2,0.467,420.818
Kepler-1360 b,1,1,Transit,2016,40.5286413,11.5,6778,1.51,0.923,1516.27
Kepler-1361 b,1,1,Transit,2016,3.57554956,0.566,5131,0.83,-0.437,389.143
Kepler-1362 b,1,1,Transit,2016,136.205626,7.27,4857,0.8,-0.601,731.298
Kepler-1363 b,1,1,Transit,2016,2.94194094,2.1,4839,0.76,-0.626,541.714
Kepler-1364 b,1,1,Transit,2016,13.32196237,5.27,6805,1.49,0.792,1056.9
Kepler-1365 b,1,2,Transit,2016,7.69993485,0.721,5770,1,0.425,840.128
Kepler-1365 c,1,2,Transit,2016,4.77468005,0.437,5770,1,0.425,840.128
Kepler-1366 b,1,1,Transit,2016,2.16457097,2.63,4070,0.62,-0.996,465.826
Kepler-1367 b,1,1,Transit,2016,1.57409027,0.721,4106,0.62,-0.905,401.484
Kepler-1368 b,1,1,Transit,2016,0.67564949,3.36,5906,1.07,0.051,1635.82
Kepler-1369 b,1,1,Transit,2016,25.873148,7.7,5761,0.99,-0.01,1236.56
Kepler-137 b,1,2,Transit,2014,8.436387,2.76,5187,0.91,-0.292,302.979
Kepler-137 c,1,2,Transit,2014,18.735753,4.19,5187,0.91,-0.292,302.979
Kepler-1370 b,1,2,Transit,2016,20.2641684,4.04,6202,1.19,0.458,1004.1
Kepler-1370 c,1,2,Transit,2016,7.44142113,2.15,6202,1.19,0.458,1004.1
Kepler-1371 b,1,2,Transit,2016,3.4462039,0.315,5361,0.87,-0.198,515.334
Kepler-1371 c,1,2,Transit,2016,2.00541269,0.196,5361,0.87,-0.198,515.334
Kepler-1372 b,1,1,Transit,2016,1.31155557,2.15,5677,0.98,0.012,1303.22
Kepler-1373 b,1,1,Transit,2016,1.29123275,1.65,6299,1.22,0.774,1699.46
Kepler-1374 b,1,1,Transit,2016,10.65276707,5.86,5323,0.85,-0.368,1078.46
Kepler-1375 b,1,1,Transit,2016,3.3004192,3.68,6704,1.47,0.822,1430.84
Kepler-1376 b,1,1,Transit,2016,5.30880656,1.16,5659,0.98,-0.071,868.056
Kepler-1377 b,1,1,Transit,2016,0.74092842,2.1,5218,0.86,-0.293,1146.1
Kepler-1378 b,1,1,Transit,2016,11.95398936,5.48,4407,0.7,-0.903,506.434
Kepler-1379 b,1,1,Transit,2016,0.88184115,2.24,5188,0.83,-0.403,971.325
Kepler-138 b,1,3,Transit,2014,10.3126,0.066,3841,0.52,-1.222,66.8624
Kepler-138 c,1,3,Transit,2014,13.7813,1.97,3841,0.52,-1.222,66.8624
Kepler-138 d,1,3,Transit,2014,23.0881,0.64,3841,0.52,-1.222,66.8624
Kepler-1380 b,1,1,Transit,2016,10.3108245,2.63,5570,0.96,0.473,2462.94
Kepler-1381 b,1,1,Transit,2016,25.3842686,5.69,5747,0.96,-0.117,1197.04
Kepler-1382 b,1,1,Transit,2016,16.3583055,4.19,6161,1.36,0.572,738.261
Kepler-1383 b,1,1,Transit,2016,13.9093583,2.57,6370,1.26,0.568,1027.21
Kepler-1384 b,1,1,Transit,2016,15.36262753,4.42,4919,0.78,-0.539,618
Kepler-1385 b,1,1,Transit,2016,2.88879862,0.543,5732,1.15,0.45,688.795
Kepler-1386 b,1,1,Transit,2016,6.73972381,2.07,5733,1.02,0.009,835.882
Kepler-1387 b,1,1,Transit,2016,2.27952666,0.749,5046,0.82,-0.56,455.358
Kepler-1388 b,1,4,Transit,2016,12.2854603,7.22,4098,0.63,-1.107,453.795
Kepler-1388 c,1,4,Transit,2016,5.53608151,5.73,4098,0.63,-1.107,453.795
Kepler-1388 d,1,4,Transit,2016,20.9568158,8.55,4098,0.63,-1.107,453.795
Kepler-1388 e,1,4,Transit,2016,37.6327084,6.62,4098,0.63,-1.107,453.795
Kepler-1389 b,1,1,Transit,2016,99.2530951,3.78,5078,0.81,-0.534,497.093
Kepler-139 b,1,2,Transit,2014,15.771044,8.96,5594,1.05,0.016,391.038
Kepler-139 c,1,2,Transit,2014,157.072878,11.4,5594,1.05,0.016,391.038
Kepler-1390 b,1,1,Transit,2016,6.48021673,1.76,5753,0.98,-0.1,723.431
Kepler-1391 b,1,1,Transit,2016,54.4092333,3.46,5840,1.03,0.439,1038.35
Kepler-1392 b,1,1,Transit,2016,15.1410397,4.5,5479,0.88,-0.231,1117
Kepler-1393 b,1,1,Transit,2016,2.44357812,0.437,5697,0.95,0.151,544.456
Kepler-1394 b,1,1,Transit,2016,3.93766373,2.51,6481,1.64,0.811,640.409
Kepler-1395 b,1,1,Transit,2016,3.78470649,0.437,6138,1.17,0.277,492.894
Kepler-1396 b,1,1,Transit,2016,18.2206421,4.94,6195,1.18,0.204,1066.46
Kepler-1397 b,1,1,Transit,2016,47.449955,3.61,6026,1.09,0.591,1198.25
Kepler-1398 b,1,2,Transit,2016,2.78815679,0.666,6126,1.13,0.312,852.204
Kepler-1398 c,1,2,Transit,2016,4.13827595,1.08,6126,1.13,0.312,852.204
Kepler-1399 b,1,1,Transit,2016,1.63865306,2.1,5735,0.97,0.01,1385.7
Kepler-14 b,2,1,Transit,2011,6.790123,2669.66,6395,1.51,0.799,798
Kepler-140 b,1,2,Transit,2014,3.25427,3.22,6077,1.15,0.251,583.859
Kepler-140 c,1,2,Transit,2014,91.353282,3.89,6077,1.15,0.251,583.859
Kepler-1400 b,1,1,Transit,2016,9.06689421,3.26,5044,0.83,-0.578,752.237
Kepler-1401 b,1,1,Transit,2016,11.20066445,3.46,5964,1.07,0.14,1425.43
Kepler-1402 b,1,1,Transit,2016,2.03387914,0.363,5416,0.9,0.448,1493.64
Kepler-1403 b,1,1,Transit,2016,5.19492202,5.22,6060,1.11,0.372,2163.9
Kepler-1404 b,1,1,Transit,2016,15.9314739,4.7,5261,0.84,-0.37,962.183
Kepler-1405 b,1,1,Transit,2016,28.2274184,14.9,5925,1.05,0.022,1530.3
Kepler-1406 b,1,1,Transit,2016,11.62905828,1.37,5892,1.05,0.135,572.403
Kepler-1407 b,1,1,Transit,2016,20.0711504,5.69,6010,1.1,0.271,1396.41
Kepler-1408 b,1,1,Transit,2016,2.99793191,0.64,6170,1.21,0.579,535.048
Kepler-1409 b,1,1,Transit,2016,0.76486493,1.12,5160,0.83,-0.422,694.89
Kepler-141 b,1,2,Transit,2014,3.107675,0.257,4910,1,-0.446,301.183
Kepler-141 c,1,2,Transit,2014,7.010606,2.57,4910,1,-0.446,301.183
Kepler-1410 b,1,1,Transit,2016,60.866168,3.82,4092,0.63,-1.158,367
Kepler-1411 b,1,1,Transit,2016,86.1150888,8.35,5664,0.95,0.041,1660.48
Kepler-1412 b,1,1,Transit,2016,3.6146051,0.498,5880,1.06,0.383,755.678
Kepler-1413 b,1,1,Transit,2016,13.1829642,3.97,5196,0.84,-0.391,1167.49
Kepler-1414 b,1,1,Transit,2016,3.51576315,2.04,4951,0.8,-0.464,570.835
Kepler-1415 b,1,1,Transit,2016,0.63642408,2.21,5267,0.89,-0.297,1043.56
Kepler-1416 b,1,1,Transit,2016,1.49514952,0.615,6019,1.09,0.284,949.59
Kepler-1417 b,1,1,Transit,2016,20.3505213,0.972,5839,1.02,0.395,991.845
Kepler-1418 b,1,1,Transit,2016,22.4764425,3.39,4770,0.77,-0.616,499
Kepler-1419 b,1,1,Transit,2016,42.5215895,8.55,5796,1.01,0.042,1498.58
Kepler-142 b,1,3,Transit,2014,2.024152,4.62,5790,0.99,0.107,548.686
Kepler-142 c,1,3,Transit,2014,4.761702,8.55,5790,0.99,0.107,548.686
Kepler-142 d,1,3,Transit,2014,41.809118,5.31,5790,0.99,0.107,548.686
Kepler-1420 b,1,1,Transit,2016,6.69960006,2.18,5187,0.82,-0.232,1054.37
Kepler-1421 b,1,1,Transit,2016,6.9131112,0.749,6335,1.25,0.599,783.401
Kepler-1422 b,1,1,Transit,2016,18.6051942,4.74,6194,1.15,0.447,2465.84
Kepler-1423 b,1,1,Transit,2016,23.955378,1.2,4939,0.79,-0.52,449
Kepler-1424 b,1,1,Transit,2016,29.6091744,1.65,5838,1.02,0.271,661.421
Kepler-1425 b,1,1,Transit,2016,14.4541302,0.779,5718,0.97,0.398,863.873
Kepler-1426 b,1,1,Transit,2016,14.2563227,3.05,5831,1.02,0.035,1697.81
Kepler-1427 b,1,1,Transit,2016,0.96897238,1.37,5793,1.01,0.016,1220
Kepler-1428 b,1,1,Transit,2016,10.67607169,3.33,6184,1.28,0.944,1530.32
Kepler-1429 b,1,1,Transit,2016,4.48487493,2.21,5902,1.05,0.138,1214.09
Kepler-143 b,1,2,Transit,2014,16.007583,6.39,5848,1.06,0.294,809.467
Kepler-143 c,1,2,Transit,2014,27.082511,11.3,5848,1.06,0.294,809.467
Kepler-1430 b,1,1,Transit,2016,2.46050993,1.76,4796,0.77,-0.816,875.523
Kepler-1431 b,1,1,Transit,2016,5.86601526,2.76,5806,1.03,0.243,1623.24
Kepler-1432 b,1,1,Transit,2016,23.9109011,5.56,6031,1.09,0.449,2171.87
Kepler-1433 b,1,1,Transit,2016,4.13592271,3.05,6097,1.14,0.247,1328
Kepler-1434 b,1,1,Transit,2016,8.05333618,1.41,6291,1.47,0.862,775.529
Kepler-1435 b,1,1,Transit,2016,4.45343281,0.566,6356,1.21,0.468,704.211
Kepler-1436 b,1,1,Transit,2016,9.705716,2.27,5972,1.06,0.801,2530.62
Kepler-1437 b,1,1,Transit,2016,10.9295461,2.45,5557,0.93,0.316,2101.69
Kepler-1438 b,1,1,Transit,2016,2.31942009,0.779,5530,0.97,0.123,1154.13
Kepler-1439 b,1,1,Transit,2016,8.07392849,2.73,3578,0.46,-1.544,225.393
Kepler-144 b,1,2,Transit,2014,5.885273,2.33,6075,1.15,0.282,384.917
Kepler-144 c,1,2,Transit,2014,10.104665,2.39,6075,1.15,0.282,384.917
Kepler-1440 b,1,1,Transit,2016,39.859484,2.13,5698,0.98,0.377,1115.35
Kepler-1441 b,1,1,Transit,2016,39.4419839,2.27,5802,1,0.325,1110.48
Kepler-1442 b,1,1,Transit,2016,81.4162941,14.7,6394,1.34,0.651,608.68
Kepler-1443 b,1,1,Transit,2016,2.41811321,0.871,6289,1.19,0.561,593.646
Kepler-1444 b,1,1,Transit,2016,33.42035034,5.39,5810,1.03,0.021,319.675
Kepler-1445 b,1,1,Transit,2016,10.60052251,0.84,6150,1.13,0.34,506.357
Kepler-1446 b,1,1,Transit,2016,0.68996783,0.477,4865,0.81,-0.651,152.075
Kepler-1447 b,1,1,Transit,2016,56.6747285,8.75,5722,0.97,-0.042,890.296
Kepler-1448 b,1,1,Transit,2016,12.27065865,3.22,5774,0.95,-0.069,768.903
Kepler-1449 b,1,1,Transit,2016,13.2274528,3.46,5979,1.08,0.509,2006.48
Kepler-145 b,1,2,Transit,2013,22.951,37.1,6022,1.32,0.692,566.85
Kepler-145 c,1,2,Transit,2013,42.882,79.4,6022,1.32,0.692,566.85
Kepler-1450 b,1,1,Transit,2016,54.5094166,3.57,4524,0.71,-0.768,505.829
Kepler-1451 b,1,1,Transit,2016,35.622233,11.2,5782,1,-0.119,1058.72
Kepler-1452 b,1,1,Transit,2016,42.913751,7.75,6101,1.41,0.721,996.32
Kepler-1453 b,1,1,Transit,2016,47.1611696,7.61,5665,0.97,-0.14,1196.04
Kepler-1454 b,1,1,Transit,2016,47.0319479,4.19,5448,0.9,-0.255,780.566
Kepler-1455 b,1,1,Transit,2016,49.276764,5.31,4075,0.62,-1.141,357.621
Kepler-1456 b,1,1,Transit,2016,18.1373829,1.55,4231,0.64,-0.957,370.312
Kepler-1457 b,1,1,Transit,2016,51.1110243,4.62,5866,1.01,0.215,889.885
Kepler-1458 b,1,1,Transit,2016,47.9872764,8.05,5653,0.96,-0.24,544.45
Kepler-1459 b,1,1,Transit,2016,62.8691611,2.42,4828,0.78,-0.523,455.479
Kepler-146 b,1,2,Transit,2014,31.158799,13.3,5948,1.1,0.148,716.797
Kepler-146 c,1,2,Transit,2014,76.732171,9.96,5948,1.1,0.148,716.797
Kepler-1460 b,1,1,Transit,2016,29.9633247,4.5,4422,0.7,-0.844,553.218
Kepler-1461 b,1,1,Transit,2016,29.3494775,4.78,4919,0.79,-0.645,679.106
Kepler-1462 b,1,1,Transit,2016,65.6488341,14,5756,1,-0.314,1017.82
Kepler-1463 b,1,1,Transit,2016,25.15864,4.12,5679,0.96,0.092,1687.47
Kepler-1464 b,1,2,Transit,2016,31.7785901,3.39,5828,1.02,0.43,1151.73
Kepler-1464 c,1,2,Transit,2016,5.32786292,0.972,5828,1.02,0.43,1151.73
Kepler-1465 b,1,1,Transit,2016,31.8277111,3.78,4726,0.75,-0.652,359.497
Kepler-1466 b,1,1,Transit,2016,31.1750448,3.02,5884,1.01,-0.023,631.949
Kepler-1467 b,1,1,Transit,2016,47.0569043,10.9,5332,0.86,-0.351,852.888
Kepler-1468 b,1,2,Transit,2016,8.23984869,3.64,5893,1.04,0.531,1899.24
Kepler-1468 c,1,2,Transit,2016,3.54553021,1.6,5893,1.04,0.531,1899.24
Kepler-1469 b,1,1,Transit,2016,21.8635301,8.25,5507,0.92,-0.274,1159.3
Kepler-147 b,1,2,Transit,2014,12.610584,2.96,6012,1.14,0.427,1042.02
Kepler-147 c,1,2,Transit,2014,33.416423,6.48,6012,1.14,0.427,1042.02
Kepler-1470 b,1,1,Transit,2016,16.2950903,1.24,4961,0.8,-0.486,590.601
Kepler-1471 b,1,1,Transit,2016,3.63899398,2.57,5660,0.95,-0.199,978.678
Kepler-1472 b,1,1,Transit,2016,38.1312831,4.27,6159,1.16,0.42,1479.14
Kepler-1473 b,1,1,Transit,2016,14.4273551,1.81,6046,1.09,0.194,652.253
Kepler-1474 b,1,1,Transit,2016,36.4333452,5.31,5870,1.04,0.029,1180.9
Kepler-1475 b,1,1,Transit,2016,82.177374,8.85,6214,1.18,0.254,1568.38
Kepler-1476 b,1,1,Transit,2016,10.35863224,3.43,5663,0.98,-0.243,1002.74
Kepler-1477 b,1,1,Transit,2016,11.55530021,1.76,5100,0.81,-0.196,680.828
Kepler-1478 b,1,1,Transit,2016,26.0840594,3.64,5904,1.04,0.304,1845.58
Kepler-1479 b,1,1,Transit,2016,14.53261362,4.01,5796,0.99,0.145,728.668
Kepler-148 b,1,3,Transit,2014,1.729366,3.89,5272,0.86,-0.383,791.163
Kepler-148 c,1,3,Transit,2014,4.180043,12.6,5272,0.86,-0.383,791.163
Kepler-148 d,1,3,Transit,2016,51.84688575,56.3,5172,0.86,-0.383,791.163
Kepler-1480 b,2,1,Transit,2016,22.12679948,3.43,5156,0.85,-0.449,500.892
Kepler-1481 b,1,1,Transit,2016,5.94220998,2.04,4908,0.8,-0.587,459.076
Kepler-1482 b,1,1,Transit,2016,12.25383217,1.01,5381,0.88,-0.083,567.556
Kepler-1483 b,1,1,Transit,2016,9.5085156,2.92,6337,1.25,0.394,1273.78
Kepler-1484 b,1,1,Transit,2016,30.4549136,5.1,5730,0.94,0.796,2879.83
Kepler-1485 b,1,1,Transit,2016,19.9157725,2.76,6087,1.11,0.28,615.66
Kepler-1486 b,1,1,Transit,2016,54.6495759,5.99,5965,1.08,0.312,1769.14
Kepler-1487 b,1,1,Transit,2016,7.31946363,5.18,6541,1.38,0.557,1014.62
Kepler-1488 b,1,1,Transit,2016,39.8189932,4.12,5820,1.05,0.587,905.825
Kepler-1489 b,1,1,Transit,2016,82.294751,3.78,5655,0.93,0.198,1283.05
Kepler-149 b,1,3,Transit,2014,29.198943,16.5,5381,0.92,-0.119,571.034
Kepler-149 c,1,3,Transit,2014,55.328328,3.22,5381,0.92,-0.119,571.034
Kepler-149 d,1,3,Transit,2014,160.018032,14.9,5381,0.92,-0.119,571.034
Kepler-1490 b,1,1,Transit,2016,92.4362973,9.48,5515,0.9,-0.319,862.92
Kepler-1491 b,1,1,Transit,2016,16.5861762,2.89,5728,1,0.355,2065.59
Kepler-1492 b,1,1,Transit,2016,16.75255007,2.83,4712,0.77,-0.754,331.553
Kepler-1493 b,1,1,Transit,2016,15.0217983,2.57,5863,1.06,0.249,555.051
Kepler-1494 b,1,1,Transit,2016,91.080482,9.64,5659,0.96,0.079,1285.48
Kepler-1495 b,1,1,Transit,2016,85.273256,8.96,5831,1.03,0.052,1355.54
Kepler-1496 b,1,1,Transit,2016,64.6588017,5.56,6182,1.18,0.304,1307.66
Kepler-1497 b,1,1,Transit,2016,8.74199772,3.39,5675,0.96,-0.073,1122
Kepler-1498 b,1,1,Transit,2016,48.051405,2.33,5256,0.86,-0.166,740
Kepler-1499 b,1,1,Transit,2016,44.2008,1.81,5097,0.82,-0.464,309.869
Kepler-15 b,1,1,Transit,2011,4.942782,209.76,5515,1.02,-0.087,739.412
Kepler-150 b,1,5,Transit,2014,3.428054,2.1,5560,0.94,-0.161,891.092
Kepler-150 c,1,5,Transit,2014,7.381998,13.2,5560,0.94,-0.161,891.092
Kepler-150 d,1,5,Transit,2014,12.56093,8.2,5560,0.94,-0.161,891.092
Kepler-150 e,1,5,Transit,2014,30.826557,9.91,5560,0.94,-0.161,891.092
Kepler-150 f,1,5,Transit,2017,637.2093,12.9,5528,0.97,-0.161,891.092
Kepler-1500 b,1,1,Transit,2016,15.0330105,1.87,5845,1,0.275,1217.82
Kepler-1501 b,1,1,Transit,2016,14.5564533,3.05,6229,1.2,0.202,749.06
Kepler-1502 b,1,1,Transit,2016,41.7083629,10.2,6666,1.44,0.742,1514.02
Kepler-1503 b,1,1,Transit,2016,96.16987,5.77,5069,0.77,-0.144,1225.57
Kepler-1504 b,1,1,Transit,2016,82.304003,5.18,5393,0.85,0.468,2435.94
Kepler-1505 b,1,1,Transit,2016,30.8609366,0.749,5686,0.93,0.149,495.148
Kepler-1506 b,1,1,Transit,2016,14.0329154,2.3,5676,0.95,0.426,2366.02
Kepler-1507 b,1,1,Transit,2016,16.0506213,0.52,5410,0.89,-0.324,320.478
Kepler-1508 b,1,1,Transit,2016,20.7056504,2.33,6158,1.14,0.537,1260.28
Kepler-1509 b,1,1,Transit,2016,25.4338197,4.08,5780,1,0.399,2002.96
Kepler-151 b,1,2,Transit,2014,15.228958,9.59,5460,0.87,-0.334,649.919
Kepler-151 c,1,2,Transit,2014,24.674612,5.02,5460,0.87,-0.334,649.919
Kepler-1510 b,1,1,Transit,2016,84.703921,11.2,6200,1.19,0.377,1696.25
Kepler-1511 b,1,1,Transit,2016,23.2382792,3.46,6064,1.17,0.838,1475.6
Kepler-1512 b,1,1,Transit,2016,20.35972599,1.76,4372,0.73,-1.695,162
Kepler-1513 b,1,1,Transit,2016,160.8846509,53.9,5617,0.99,-0.17,349.247
Kepler-1514 b,1,2,Transit,2016,217.83184,1678.1424,6145,1.2,0.328,397.292
Kepler-1514 c,1,2,Transit,2020,10.514181,1.74,6145,1.2,0.328,397.292
Kepler-1515 b,1,1,Transit,2016,214.3114164,66.2,6511,1.3,0.566,539.321
Kepler-1516 b,1,1,Transit,2016,7.25931979,3.71,5904,1.04,0.446,1358.95
Kepler-1517 b,1,1,Transit,2016,5.54608367,68.7,7010,1.58,0.879,847.299
