planet_name,number_stars_in_system,number_planets_in_system,discovery_method,discovery_year,planet_orbital_period_(days),planet_mass_(earths),star_temp_(K),star_mass_(suns),star_luminosity_(abs),system_distance_from_earth_(pc)
HD 285968 b,1,1,Radial Velocity,2008,8.7836,8.4,3703.49,0.5,-1.658,9.47045
HD 28678 b,1,1,Radial Velocity,2011,380.2,490.09386,4972,1.53,1.36,189.908
HD 29021 b,1,1,Radial Velocity,2017,1362.3,762.792,5560,0.85,-0.174,30.9939
HD 290327 b,1,1,Radial Velocity,2009,2443,772.3269,5505,0.84,-0.14,56.433
HD 2952 b,1,1,Radial Velocity,2013,311.60001,435.4271,4844,1.97,1.85,110.103
HD 30177 b,1,2,Radial Velocity,2002,2527.83,2740.33026,5607,1.05,0.083,55.5867
HD 30177 c,1,2,Radial Velocity,2016,11613,2415.508,5580,0.99,0.084,55.5867
HD 30562 b,1,1,Radial Velocity,2009,1157,387.7526,5882,1.12,0.45,26.1597
HD 30669 b,1,1,Radial Velocity,2014,1684,149.37,5400,0.92,-0.146,58.0844
HD 30856 b,2,1,Radial Velocity,2011,847,491.68301,4895,1.17,0.996,131.199
HD 31253 b,1,1,Radial Velocity,2010,466,197.0546,6130,1.7,0.517,58.1438
HD 31527 b,1,3,Radial Velocity,2019,16.5535,10.47,5898,0.96,0.079,38.4473
HD 31527 c,1,3,Radial Velocity,2019,51.2053,14.16,5898,0.96,0.079,38.4473
HD 31527 d,1,3,Radial Velocity,2019,271.6737,11.82,5898,0.96,0.079,38.4473
HD 3167 b,1,3,Transit,2016,0.959624,5.02,5528,0.94,-0.262,47.2899
HD 3167 c,1,3,Transit,2016,29.83832,9.8,5528,0.94,-0.262,47.2899
HD 3167 d,1,3,Transit,2017,8.509,6.9,5261,0.86,-0.262,47.2899
HD 32518 b,1,1,Radial Velocity,2009,157.54,966.16,4580,1.13,1.666,122.115
HD 32963 b,1,1,Radial Velocity,2015,2372,222.481,5727,0.94,0.064,38.0786
HD 330075 b,1,1,Radial Velocity,2004,3.38773,152.5584,5000,0.47,-0.33,45.2989
HD 331093 b,1,1,Radial Velocity,2021,621.62,476.74261,5544,1.03,0.006,50.1928
HD 33142 b,1,2,Radial Velocity,2011,326,440.19455,4978,1.41,1.021,121.375
HD 33142 c,1,2,Radial Velocity,2018,834,1897.4451,5009,1.62,0.998,121.375
HD 332231 b,1,1,Transit,2020,18.71204,77.55052,6089,1.13,0.305,80.6665
HD 33283 b,2,1,Radial Velocity,2006,18.1991,104.56607,5935,1.38,0.64,89.8623
HD 33564 b,1,1,Radial Velocity,2005,388,2892.1,6250,1.25,0.535,20.9531
